City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Tiksi,RU,2021-10-03 00:40:58,71.6872,128.8694,27.0,85,62,15.41
109,Pangnirtung,CA,2021-10-03 00:47:51,66.1451,-65.7125,37.33,82,19,1.68
110,Marquette,US,2021-10-03 00:44:08,46.5333,-87.6335,62.76,94,59,2.55
111,Quatre Cocos,MU,2021-10-03 00:40:48,-20.2078,57.7625,72.09,72,87,14.32
112,Santo Antonio Do Ica,BR,2021-10-03 00:47:52,-3.1022,-67.9397,76.62,84,79,2.53
113,Carnarvon,AU,2021-10-03 00:40:15,-24.8667,113.6333,60.87,82,90,13.8
114,Mehamn,NO,2021-10-03 00:47:52,71.0357,27.8492,50.16,84,75,19.64
115,Bengkulu,ID,2021-10-03 00:41:25,-3.8004,102.2655,78.22,80,37,2.24
116,Saint George,US,2021-10-03 00:39:05,37.1041,-113.5841,88.27,16,1,0.0
117,Talas,TR,2021-10-03 00:47:53,38.6908,35.5538,47.07,76,40,4.61
118,Lima,PE,2021-10-03 00:46:58,-12.0432,-77.0282,61.05,74,90,6.91
119,Bonthe,SL,2021-10-03 00:40:38,7.5264,-12.505,76.21,91,100,2.39
120,Brae,GB,2021-10-03 00:47:53,60.3964,-1.353,51.71,85,100,27.13
121,Ilulissat,GL,2021-10-03 00:39:57,69.2167,-51.1,17.04,75,21,7.02
122,Smoky Lake,CA,2021-10-03 00:43:11,54.1169,-112.4686,59.72,38,100,4.61
123,Port Alfred,ZA,2021-10-03 00:39:54,-33.5906,26.891,53.29,69,83,22.21
124,Richards Bay,ZA,2021-10-03 00:41:35,-28.783,32.0377,63.9,93,100,16.22
125,North Bend,US,2021-10-03 00:39:33,43.4065,-124.2243,62.85,88,1,20.71
126,Kalmunai,LK,2021-10-03 00:39:38,7.4167,81.8167,78.48,84,43,5.35
127,Juegang,CN,2021-10-03 00:47:55,32.3174,121.1855,81.91,72,4,18.39
128,Milkovo,RU,2021-10-03 00:47:55,54.7167,158.6167,46.31,90,100,5.26
129,Capinota,BO,2021-10-03 00:47:56,-17.7167,-66.2333,72.81,52,7,6.17
130,Kulhudhuffushi,MV,2021-10-03 00:47:56,6.6221,73.07,82.74,77,100,15.23
131,Kholmogory,RU,2021-10-03 00:47:56,64.2229,41.656,42.91,97,100,3.8
132,Hilo,US,2021-10-03 00:39:16,19.7297,-155.09,83.93,72,75,8.05
133,Tubuala,PA,2021-10-03 00:47:57,9.5167,-79.0333,78.91,78,100,6.49
134,Mitsamiouli,KM,2021-10-03 00:44:45,-11.3847,43.2844,75.51,78,33,13.4
135,Cherskiy,RU,2021-10-03 00:41:39,68.75,161.3,27.46,95,100,12.55
136,Samarai,PG,2021-10-03 00:39:49,-10.6167,150.6667,82.8,74,11,8.37
137,Guilin,CN,2021-10-03 00:47:58,25.2819,110.2864,78.91,68,20,5.55
138,Yerbogachen,RU,2021-10-03 00:42:18,61.2767,108.0108,31.14,75,90,3.36
139,Vitim,RU,2021-10-03 00:47:58,59.4511,112.5578,32.97,74,100,2.71
